ksh,xm,sfzh,lxdh,yxdh,yxmc,kldm,zydh,zymc,pcdm
21376666050045,zhang50044,8888,8888,A231,SDKJDX,2,22,English,1
21376666050046,zhang50045,8888,8888,A231,SDKJDX,2,22,English,1
21376666050047,zhang50046,8888,8888,A231,SDKJDX,2,22,English,1
21376666050048,zhang50047,8888,8888,A231,SDKJDX,2,22,English,1
21376666050049,zhang50048,8888,8888,A231,SDKJDX,2,22,English,1
21376666050050,zhang50049,8888,8888,A231,SDKJDX,2,22,English,1
21376666050051,zhang50050,8888,8888,A231,SDKJDX,2,22,English,1
21376666050052,zhang50051,8888,8888,A231,SDKJDX,2,22,English,1
21376666050053,zhang50052,8888,8888,A231,SDKJDX,2,22,English,1
21376666050054,zhang50053,8888,8888,A231,SDKJDX,2,22,English,1
21376666050055,zhang50054,8888,8888,A231,SDKJDX,2,22,English,1
21376666050056,zhang50055,8888,8888,A231,SDKJDX,2,22,English,1
21376666050057,zhang50056,8888,8888,A231,SDKJDX,2,22,English,1
21376666050058,zhang50057,8888,8888,A231,SDKJDX,2,22,English,1
21376666050059,zhang50058,8888,8888,A231,SDKJDX,2,22,English,1
21376666050060,zhang50059,8888,8888,A231,SDKJDX,2,22,English,1
21376666050061,zhang50060,8888,8888,A231,SDKJDX,2,22,English,1
21376666050062,zhang50061,8888,8888,A231,SDKJDX,2,22,English,1
21376666050063,zhang50062,8888,8888,A231,SDKJDX,2,22,English,1
21376666050064,zhang50063,8888,8888,A231,SDKJDX,2,22,English,1
21376666050065,zhang50064,8888,8888,A231,SDKJDX,2,22,English,1
21376666050066,zhang50065,8888,8888,A231,SDKJDX,2,22,English,1
21376666050067,zhang50066,8888,8888,A231,SDKJDX,2,22,English,1
21376666050068,zhang50067,8888,8888,A231,SDKJDX,2,22,English,1
21376666050069,zhang50068,8888,8888,A231,SDKJDX,2,22,English,1
21376666050070,zhang50069,8888,8888,A231,SDKJDX,2,22,English,1
21376666050071,zhang50070,8888,8888,A231,SDKJDX,2,22,English,1
21376666050072,zhang50071,8888,8888,A231,SDKJDX,2,22,English,1
21376666050073,zhang50072,8888,8888,A231,SDKJDX,2,22,English,1
21376666050074,zhang50073,8888,8888,A231,SDKJDX,2,22,English,1
21376666050075,zhang50074,8888,8888,A231,SDKJDX,2,22,English,1
21376666050076,zhang50075,8888,8888,A231,SDKJDX,2,22,English,1
21376666050077,zhang50076,8888,8888,A231,SDKJDX,2,22,English,1
21376666050078,zhang50077,8888,8888,A231,SDKJDX,2,22,English,1
21376666050079,zhang50078,8888,8888,A231,SDKJDX,2,22,English,1
21376666050080,zhang50079,8888,8888,A231,SDKJDX,2,22,English,1
21376666050081,zhang50080,8888,8888,A231,SDKJDX,2,22,English,1
21376666050082,zhang50081,8888,8888,A231,SDKJDX,2,22,English,1
21376666050083,zhang50082,8888,8888,A231,SDKJDX,2,22,English,1
21376666050084,zhang50083,8888,8888,A231,SDKJDX,2,22,English,1
21376666050085,zhang50084,8888,8888,A231,SDKJDX,2,22,English,1
21376666050086,zhang50085,8888,8888,A231,SDKJDX,2,22,English,1
21376666050087,zhang50086,8888,8888,A231,SDKJDX,2,22,English,1
21376666050088,zhang50087,8888,8888,A231,SDKJDX,2,22,English,1
21376666050089,zhang50088,8888,8888,A231,SDKJDX,2,22,English,1
21376666050090,zhang50089,8888,8888,A231,SDKJDX,2,22,English,1
21376666050091,zhang50090,8888,8888,A231,SDKJDX,2,22,English,1
21376666050092,zhang50091,8888,8888,A231,SDKJDX,2,22,English,1
21376666050093,zhang50092,8888,8888,A231,SDKJDX,2,22,English,1
21376666050094,zhang50093,8888,8888,A231,SDKJDX,2,22,English,1
21376666050095,zhang50094,8888,8888,A231,SDKJDX,2,22,English,1
21376666050096,zhang50095,8888,8888,A231,SDKJDX,2,22,English,1
21376666050097,zhang50096,8888,8888,A231,SDKJDX,2,22,English,1
21376666050098,zhang50097,8888,8888,A231,SDKJDX,2,22,English,1
21376666050099,zhang50098,8888,8888,A231,SDKJDX,2,22,English,1
21376666050100,zhang50099,8888,8888,A231,SDKJDX,2,22,English,1
21376666050101,zhang50100,8888,8888,A231,SDKJDX,2,22,English,1
21376666050102,zhang50101,8888,8888,A231,SDKJDX,2,22,English,1
21376666050103,zhang50102,8888,8888,A231,SDKJDX,2,22,English,1
21376666050104,zhang50103,8888,8888,A231,SDKJDX,2,22,English,1
21376666050105,zhang50104,8888,8888,A231,SDKJDX,2,22,English,1
21376666050106,zhang50105,8888,8888,A231,SDKJDX,2,22,English,1
21376666050107,zhang50106,8888,8888,A231,SDKJDX,2,22,English,1
21376666050108,zhang50107,8888,8888,A231,SDKJDX,2,22,English,1
21376666050109,zhang50108,8888,8888,A231,SDKJDX,2,22,English,1
21376666050110,zhang50109,8888,8888,A231,SDKJDX,2,22,English,1
21376666050111,zhang50110,8888,8888,A231,SDKJDX,2,22,English,1
21376666050112,zhang50111,8888,8888,A231,SDKJDX,2,22,English,1
21376666050113,zhang50112,8888,8888,A231,SDKJDX,2,22,English,1
21376666050114,zhang50113,8888,8888,A231,SDKJDX,2,22,English,1
21376666050115,zhang50114,8888,8888,A231,SDKJDX,2,22,English,1
21376666050116,zhang50115,8888,8888,A231,SDKJDX,2,22,English,1
21376666050117,zhang50116,8888,8888,A231,SDKJDX,2,22,English,1
21376666050118,zhang50117,8888,8888,A231,SDKJDX,2,22,English,1
21376666050119,zhang50118,8888,8888,A231,SDKJDX,2,22,English,1
21376666050120,zhang50119,8888,8888,A231,SDKJDX,2,22,English,1
21376666050121,zhang50120,8888,8888,A231,SDKJDX,2,22,English,1
21376666050122,zhang50121,8888,8888,A231,SDKJDX,2,22,English,1
21376666050123,zhang50122,8888,8888,A231,SDKJDX,2,22,English,1
21376666050124,zhang50123,8888,8888,A231,SDKJDX,2,22,English,1
21376666050125,zhang50124,8888,8888,A231,SDKJDX,2,22,English,1
21376666050126,zhang50125,8888,8888,A231,SDKJDX,2,22,English,1
21376666050127,zhang50126,8888,8888,A231,SDKJDX,2,22,English,1
21376666050128,zhang50127,8888,8888,A231,SDKJDX,2,22,English,1
21376666050129,zhang50128,8888,8888,A231,SDKJDX,2,22,English,1
21376666050130,zhang50129,8888,8888,A231,SDKJDX,2,22,English,1
21376666050131,zhang50130,8888,8888,A231,SDKJDX,2,22,English,1
21376666050132,zhang50131,8888,8888,A231,SDKJDX,2,22,English,1
21376666050133,zhang50132,8888,8888,A231,SDKJDX,2,22,English,1
21376666050134,zhang50133,8888,8888,A231,SDKJDX,2,22,English,1
21376666050135,zhang50134,8888,8888,A231,SDKJDX,2,22,English,1
21376666050136,zhang50135,8888,8888,A231,SDKJDX,2,22,English,1
21376666050137,zhang50136,8888,8888,A231,SDKJDX,2,22,English,1
21376666050138,zhang50137,8888,8888,A231,SDKJDX,2,22,English,1
21376666050139,zhang50138,8888,8888,A231,SDKJDX,2,22,English,1
21376666050140,zhang50139,8888,8888,A231,SDKJDX,2,22,English,1
21376666050141,zhang50140,8888,8888,A231,SDKJDX,2,22,English,1
21376666050142,zhang50141,8888,8888,A231,SDKJDX,2,22,English,1
21376666050143,zhang50142,8888,8888,A231,SDKJDX,2,22,English,1
21376666050144,zhang50143,8888,8888,A231,SDKJDX,2,22,English,1
21376666050145,zhang50144,8888,8888,A231,SDKJDX,2,22,English,1
21376666050146,zhang50145,8888,8888,A231,SDKJDX,2,22,English,1
21376666050147,zhang50146,8888,8888,A231,SDKJDX,2,22,English,1
21376666050148,zhang50147,8888,8888,A231,SDKJDX,2,22,English,1
21376666050149,zhang50148,8888,8888,A231,SDKJDX,2,22,English,1
21376666050150,zhang50149,8888,8888,A231,SDKJDX,2,22,English,1
21376666050151,zhang50150,8888,8888,A231,SDKJDX,2,22,English,1
21376666050152,zhang50151,8888,8888,A231,SDKJDX,2,22,English,1
21376666050153,zhang50152,8888,8888,A231,SDKJDX,2,22,English,1
21376666050154,zhang50153,8888,8888,A231,SDKJDX,2,22,English,1
21376666050155,zhang50154,8888,8888,A231,SDKJDX,2,22,English,1
21376666050156,zhang50155,8888,8888,A231,SDKJDX,2,22,English,1
21376666050157,zhang50156,8888,8888,A231,SDKJDX,2,22,English,1
21376666050158,zhang50157,8888,8888,A231,SDKJDX,2,22,English,1
21376666050159,zhang50158,8888,8888,A231,SDKJDX,2,22,English,1
21376666050160,zhang50159,8888,8888,A231,SDKJDX,2,22,English,1
21376666050161,zhang50160,8888,8888,A231,SDKJDX,2,22,English,1
21376666050162,zhang50161,8888,8888,A231,SDKJDX,2,22,English,1
21376666050163,zhang50162,8888,8888,A231,SDKJDX,2,22,English,1
21376666050164,zhang50163,8888,8888,A231,SDKJDX,2,22,English,1
21376666050165,zhang50164,8888,8888,A231,SDKJDX,2,22,English,1
21376666050166,zhang50165,8888,8888,A231,SDKJDX,2,22,English,1
21376666050167,zhang50166,8888,8888,A231,SDKJDX,2,22,English,1
21376666050168,zhang50167,8888,8888,A231,SDKJDX,2,22,English,1
21376666050169,zhang50168,8888,8888,A231,SDKJDX,2,22,English,1
21376666050170,zhang50169,8888,8888,A231,SDKJDX,2,22,English,1
21376666050171,zhang50170,8888,8888,A231,SDKJDX,2,22,English,1
21376666050172,zhang50171,8888,8888,A231,SDKJDX,2,22,English,1
21376666050173,zhang50172,8888,8888,A231,SDKJDX,2,22,English,1
21376666050174,zhang50173,8888,8888,A231,SDKJDX,2,22,English,1
21376666050175,zhang50174,8888,8888,A231,SDKJDX,2,22,English,1
21376666050176,zhang50175,8888,8888,A231,SDKJDX,2,22,English,1
21376666050177,zhang50176,8888,8888,A231,SDKJDX,2,22,English,1
21376666050178,zhang50177,8888,8888,A231,SDKJDX,2,22,English,1
21376666050179,zhang50178,8888,8888,A231,SDKJDX,2,22,English,1
21376666050180,zhang50179,8888,8888,A231,SDKJDX,2,22,English,1
21376666050181,zhang50180,8888,8888,A231,SDKJDX,2,22,English,1
21376666050182,zhang50181,8888,8888,A231,SDKJDX,2,22,English,1
21376666050183,zhang50182,8888,8888,A231,SDKJDX,2,22,English,1
21376666050184,zhang50183,8888,8888,A231,SDKJDX,2,22,English,1
21376666050185,zhang50184,8888,8888,A231,SDKJDX,2,22,English,1
21376666050186,zhang50185,8888,8888,A231,SDKJDX,2,22,English,1
21376666050187,zhang50186,8888,8888,A231,SDKJDX,2,22,English,1
21376666050188,zhang50187,8888,8888,A231,SDKJDX,2,22,English,1
21376666050189,zhang50188,8888,8888,A231,SDKJDX,2,22,English,1
21376666050190,zhang50189,8888,8888,A231,SDKJDX,2,22,English,1
21376666050191,zhang50190,8888,8888,A231,SDKJDX,2,22,English,1
21376666050192,zhang50191,8888,8888,A231,SDKJDX,2,22,English,1
21376666050193,zhang50192,8888,8888,A231,SDKJDX,2,22,English,1
21376666050194,zhang50193,8888,8888,A231,SDKJDX,2,22,English,1
21376666050195,zhang50194,8888,8888,A231,SDKJDX,2,22,English,1
21376666050196,zhang50195,8888,8888,A231,SDKJDX,2,22,English,1
21376666050197,zhang50196,8888,8888,A231,SDKJDX,2,22,English,1
21376666050198,zhang50197,8888,8888,A231,SDKJDX,2,22,English,1
21376666050199,zhang50198,8888,8888,A231,SDKJDX,2,22,English,1
21376666050200,zhang50199,8888,8888,A231,SDKJDX,2,22,English,1
21376666050201,zhang50200,8888,8888,A231,SDKJDX,2,22,English,1
21376666050202,zhang50201,8888,8888,A231,SDKJDX,2,22,English,1
21376666050203,zhang50202,8888,8888,A231,SDKJDX,2,22,English,1
21376666050204,zhang50203,8888,8888,A231,SDKJDX,2,22,English,1
21376666050205,zhang50204,8888,8888,A231,SDKJDX,2,22,English,1
21376666050206,zhang50205,8888,8888,A231,SDKJDX,2,22,English,1
21376666050207,zhang50206,8888,8888,A231,SDKJDX,2,22,English,1
21376666050208,zhang50207,8888,8888,A231,SDKJDX,2,22,English,1
21376666050209,zhang50208,8888,8888,A231,SDKJDX,2,22,English,1
21376666050210,zhang50209,8888,8888,A231,SDKJDX,2,22,English,1
21376666050211,zhang50210,8888,8888,A231,SDKJDX,2,22,English,1
21376666050212,zhang50211,8888,8888,A231,SDKJDX,2,22,English,1
21376666050213,zhang50212,8888,8888,A231,SDKJDX,2,22,English,1
21376666050214,zhang50213,8888,8888,A231,SDKJDX,2,22,English,1
21376666050215,zhang50214,8888,8888,A231,SDKJDX,2,22,English,1
21376666050216,zhang50215,8888,8888,A231,SDKJDX,2,22,English,1
21376666050217,zhang50216,8888,8888,A231,SDKJDX,2,22,English,1
21376666050218,zhang50217,8888,8888,A231,SDKJDX,2,22,English,1
21376666050219,zhang50218,8888,8888,A231,SDKJDX,2,22,English,1
21376666050220,zhang50219,8888,8888,A231,SDKJDX,2,22,English,1
21376666050221,zhang50220,8888,8888,A231,SDKJDX,2,22,English,1
21376666050222,zhang50221,8888,8888,A231,SDKJDX,2,22,English,1
21376666050223,zhang50222,8888,8888,A231,SDKJDX,2,22,English,1
21376666050224,zhang50223,8888,8888,A231,SDKJDX,2,22,English,1
21376666050225,zhang50224,8888,8888,A231,SDKJDX,2,22,English,1
21376666050226,zhang50225,8888,8888,A231,SDKJDX,2,22,English,1
21376666050227,zhang50226,8888,8888,A231,SDKJDX,2,22,English,1
21376666050228,zhang50227,8888,8888,A231,SDKJDX,2,22,English,1
21376666050229,zhang50228,8888,8888,A231,SDKJDX,2,22,English,1
21376666050230,zhang50229,8888,8888,A231,SDKJDX,2,22,English,1
21376666050231,zhang50230,8888,8888,A231,SDKJDX,2,22,English,1
21376666050232,zhang50231,8888,8888,A231,SDKJDX,2,22,English,1
21376666050233,zhang50232,8888,8888,A231,SDKJDX,2,22,English,1
21376666050234,zhang50233,8888,8888,A231,SDKJDX,2,22,English,1
21376666050235,zhang50234,8888,8888,A231,SDKJDX,2,22,English,1
21376666050236,zhang50235,8888,8888,A231,SDKJDX,2,22,English,1
21376666050237,zhang50236,8888,8888,A231,SDKJDX,2,22,English,1
21376666050238,zhang50237,8888,8888,A231,SDKJDX,2,22,English,1
21376666050239,zhang50238,8888,8888,A231,SDKJDX,2,22,English,1
21376666050240,zhang50239,8888,8888,A231,SDKJDX,2,22,English,1
21376666050241,zhang50240,8888,8888,A231,SDKJDX,2,22,English,1
21376666050242,zhang50241,8888,8888,A231,SDKJDX,2,22,English,1
21376666050243,zhang50242,8888,8888,A231,SDKJDX,2,22,English,1
21376666050244,zhang50243,8888,8888,A231,SDKJDX,2,22,English,1
21376666050245,zhang50244,8888,8888,A231,SDKJDX,2,22,English,1
21376666050246,zhang50245,8888,8888,A231,SDKJDX,2,22,English,1
21376666050247,zhang50246,8888,8888,A231,SDKJDX,2,22,English,1
21376666050248,zhang50247,8888,8888,A231,SDKJDX,2,22,English,1
21376666050249,zhang50248,8888,8888,A231,SDKJDX,2,22,English,1
21376666050250,zhang50249,8888,8888,A231,SDKJDX,2,22,English,1
21376666050251,zhang50250,8888,8888,A231,SDKJDX,2,22,English,1
21376666050252,zhang50251,8888,8888,A231,SDKJDX,2,22,English,1
21376666050253,zhang50252,8888,8888,A231,SDKJDX,2,22,English,1
21376666050254,zhang50253,8888,8888,A231,SDKJDX,2,22,English,1
21376666050255,zhang50254,8888,8888,A231,SDKJDX,2,22,English,1
21376666050256,zhang50255,8888,8888,A231,SDKJDX,2,22,English,1
21376666050257,zhang50256,8888,8888,A231,SDKJDX,2,22,English,1
21376666050258,zhang50257,8888,8888,A231,SDKJDX,2,22,English,1
21376666050259,zhang50258,8888,8888,A231,SDKJDX,2,22,English,1
21376666050260,zhang50259,8888,8888,A231,SDKJDX,2,22,English,1
21376666050261,zhang50260,8888,8888,A231,SDKJDX,2,22,English,1
21376666050262,zhang50261,8888,8888,A231,SDKJDX,2,22,English,1
21376666050263,zhang50262,8888,8888,A231,SDKJDX,2,22,English,1
21376666050264,zhang50263,8888,8888,A231,SDKJDX,2,22,English,1
21376666050265,zhang50264,8888,8888,A231,SDKJDX,2,22,English,1
21376666050266,zhang50265,8888,8888,A231,SDKJDX,2,22,English,1
21376666050267,zhang50266,8888,8888,A231,SDKJDX,2,22,English,1
21376666050268,zhang50267,8888,8888,A231,SDKJDX,2,22,English,1
21376666050269,zhang50268,8888,8888,A231,SDKJDX,2,22,English,1
21376666050270,zhang50269,8888,8888,A231,SDKJDX,2,22,English,1
21376666050271,zhang50270,8888,8888,A231,SDKJDX,2,22,English,1
21376666050272,zhang50271,8888,8888,A231,SDKJDX,2,22,English,1
21376666050273,zhang50272,8888,8888,A231,SDKJDX,2,22,English,1
21376666050274,zhang50273,8888,8888,A231,SDKJDX,2,22,English,1
21376666050275,zhang50274,8888,8888,A231,SDKJDX,2,22,English,1
21376666050276,zhang50275,8888,8888,A231,SDKJDX,2,22,English,1
21376666050277,zhang50276,8888,8888,A231,SDKJDX,2,22,English,1
21376666050278,zhang50277,8888,8888,A231,SDKJDX,2,22,English,1
21376666050279,zhang50278,8888,8888,A231,SDKJDX,2,22,English,1
21376666050280,zhang50279,8888,8888,A231,SDKJDX,2,22,English,1
21376666050281,zhang50280,8888,8888,A231,SDKJDX,2,22,English,1
21376666050282,zhang50281,8888,8888,A231,SDKJDX,2,22,English,1
21376666050283,zhang50282,8888,8888,A231,SDKJDX,2,22,English,1
21376666050284,zhang50283,8888,8888,A231,SDKJDX,2,22,English,1
21376666050285,zhang50284,8888,8888,A231,SDKJDX,2,22,English,1
21376666050286,zhang50285,8888,8888,A231,SDKJDX,2,22,English,1
21376666050287,zhang50286,8888,8888,A231,SDKJDX,2,22,English,1
21376666050288,zhang50287,8888,8888,A231,SDKJDX,2,22,English,1
21376666050289,zhang50288,8888,8888,A231,SDKJDX,2,22,English,1
21376666050290,zhang50289,8888,8888,A231,SDKJDX,2,22,English,1
21376666050291,zhang50290,8888,8888,A231,SDKJDX,2,22,English,1
21376666050292,zhang50291,8888,8888,A231,SDKJDX,2,22,English,1
21376666050293,zhang50292,8888,8888,A231,SDKJDX,2,22,English,1
21376666050294,zhang50293,8888,8888,A231,SDKJDX,2,22,English,1
21376666050295,zhang50294,8888,8888,A231,SDKJDX,2,22,English,1
21376666050296,zhang50295,8888,8888,A231,SDKJDX,2,22,English,1
21376666050297,zhang50296,8888,8888,A231,SDKJDX,2,22,English,1
21376666050298,zhang50297,8888,8888,A231,SDKJDX,2,22,English,1
21376666050299,zhang50298,8888,8888,A231,SDKJDX,2,22,English,1
21376666050300,zhang50299,8888,8888,A231,SDKJDX,2,22,English,1
21376666050301,zhang50300,8888,8888,A231,SDKJDX,2,22,English,1
21376666050302,zhang50301,8888,8888,A231,SDKJDX,2,22,English,1
21376666050303,zhang50302,8888,8888,A231,SDKJDX,2,22,English,1
21376666050304,zhang50303,8888,8888,A231,SDKJDX,2,22,English,1
21376666050305,zhang50304,8888,8888,A231,SDKJDX,2,22,English,1
21376666050306,zhang50305,8888,8888,A231,SDKJDX,2,22,English,1
21376666050307,zhang50306,8888,8888,A231,SDKJDX,2,22,English,1
21376666050308,zhang50307,8888,8888,A231,SDKJDX,2,22,English,1
21376666050309,zhang50308,8888,8888,A231,SDKJDX,2,22,English,1
21376666050310,zhang50309,8888,8888,A231,SDKJDX,2,22,English,1
21376666050311,zhang50310,8888,8888,A231,SDKJDX,2,22,English,1
21376666050312,zhang50311,8888,8888,A231,SDKJDX,2,22,English,1
21376666050313,zhang50312,8888,8888,A231,SDKJDX,2,22,English,1
21376666050314,zhang50313,8888,8888,A231,SDKJDX,2,22,English,1
21376666050315,zhang50314,8888,8888,A231,SDKJDX,2,22,English,1
21376666050316,zhang50315,8888,8888,A231,SDKJDX,2,22,English,1
21376666050317,zhang50316,8888,8888,A231,SDKJDX,2,22,English,1
21376666050318,zhang50317,8888,8888,A231,SDKJDX,2,22,English,1
21376666050319,zhang50318,8888,8888,A231,SDKJDX,2,22,English,1
21376666050320,zhang50319,8888,8888,A231,SDKJDX,2,22,English,1
21376666050321,zhang50320,8888,8888,A231,SDKJDX,2,22,English,1
21376666050322,zhang50321,8888,8888,A231,SDKJDX,2,22,English,1
21376666050323,zhang50322,8888,8888,A231,SDKJDX,2,22,English,1
21376666050324,zhang50323,8888,8888,A231,SDKJDX,2,22,English,1
21376666050325,zhang50324,8888,8888,A231,SDKJDX,2,22,English,1
21376666050326,zhang50325,8888,8888,A231,SDKJDX,2,22,English,1
21376666050327,zhang50326,8888,8888,A231,SDKJDX,2,22,English,1
21376666050328,zhang50327,8888,8888,A231,SDKJDX,2,22,English,1
21376666050329,zhang50328,8888,8888,A231,SDKJDX,2,22,English,1
21376666050330,zhang50329,8888,8888,A231,SDKJDX,2,22,English,1
21376666050331,zhang50330,8888,8888,A231,SDKJDX,2,22,English,1
21376666050332,zhang50331,8888,8888,A231,SDKJDX,2,22,English,1
21376666050333,zhang50332,8888,8888,A231,SDKJDX,2,22,English,1
21376666050334,zhang50333,8888,8888,A231,SDKJDX,2,22,English,1
21376666050335,zhang50334,8888,8888,A231,SDKJDX,2,22,English,1
21376666050336,zhang50335,8888,8888,A231,SDKJDX,2,22,English,1
21376666050337,zhang50336,8888,8888,A231,SDKJDX,2,22,English,1
21376666050338,zhang50337,8888,8888,A231,SDKJDX,2,22,English,1
21376666050339,zhang50338,8888,8888,A231,SDKJDX,2,22,English,1
21376666050340,zhang50339,8888,8888,A231,SDKJDX,2,22,English,1
21376666050341,zhang50340,8888,8888,A231,SDKJDX,2,22,English,1
21376666050342,zhang50341,8888,8888,A231,SDKJDX,2,22,English,1
21376666050343,zhang50342,8888,8888,A231,SDKJDX,2,22,English,1
21376666050344,zhang50343,8888,8888,A231,SDKJDX,2,22,English,1
21376666050345,zhang50344,8888,8888,A231,SDKJDX,2,22,English,1
21376666050346,zhang50345,8888,8888,A231,SDKJDX,2,22,English,1
21376666050347,zhang50346,8888,8888,A231,SDKJDX,2,22,English,1
21376666050348,zhang50347,8888,8888,A231,SDKJDX,2,22,English,1
21376666050349,zhang50348,8888,8888,A231,SDKJDX,2,22,English,1
21376666050350,zhang50349,8888,8888,A231,SDKJDX,2,22,English,1
21376666050351,zhang50350,8888,8888,A231,SDKJDX,2,22,English,1
21376666050352,zhang50351,8888,8888,A231,SDKJDX,2,22,English,1
21376666050353,zhang50352,8888,8888,A231,SDKJDX,2,22,English,1
21376666050354,zhang50353,8888,8888,A231,SDKJDX,2,22,English,1
21376666050355,zhang50354,8888,8888,A231,SDKJDX,2,22,English,1
21376666050356,zhang50355,8888,8888,A231,SDKJDX,2,22,English,1
21376666050357,zhang50356,8888,8888,A231,SDKJDX,2,22,English,1
21376666050358,zhang50357,8888,8888,A231,SDKJDX,2,22,English,1
21376666050359,zhang50358,8888,8888,A231,SDKJDX,2,22,English,1
21376666050360,zhang50359,8888,8888,A231,SDKJDX,2,22,English,1
21376666050361,zhang50360,8888,8888,A231,SDKJDX,2,22,English,1
21376666050362,zhang50361,8888,8888,A231,SDKJDX,2,22,English,1
21376666050363,zhang50362,8888,8888,A231,SDKJDX,2,22,English,1
21376666050364,zhang50363,8888,8888,A231,SDKJDX,2,22,English,1
21376666050365,zhang50364,8888,8888,A231,SDKJDX,2,22,English,1
21376666050366,zhang50365,8888,8888,A231,SDKJDX,2,22,English,1
21376666050367,zhang50366,8888,8888,A231,SDKJDX,2,22,English,1
21376666050368,zhang50367,8888,8888,A231,SDKJDX,2,22,English,1
21376666050369,zhang50368,8888,8888,A231,SDKJDX,2,22,English,1
21376666050370,zhang50369,8888,8888,A231,SDKJDX,2,22,English,1
21376666050371,zhang50370,8888,8888,A231,SDKJDX,2,22,English,1
21376666050372,zhang50371,8888,8888,A231,SDKJDX,2,22,English,1
21376666050373,zhang50372,8888,8888,A231,SDKJDX,2,22,English,1
21376666050374,zhang50373,8888,8888,A231,SDKJDX,2,22,English,1
21376666050375,zhang50374,8888,8888,A231,SDKJDX,2,22,English,1
21376666050376,zhang50375,8888,8888,A231,SDKJDX,2,22,English,1
21376666050377,zhang50376,8888,8888,A231,SDKJDX,2,22,English,1
21376666050378,zhang50377,8888,8888,A231,SDKJDX,2,22,English,1
21376666050379,zhang50378,8888,8888,A231,SDKJDX,2,22,English,1
21376666050380,zhang50379,8888,8888,A231,SDKJDX,2,22,English,1
21376666050381,zhang50380,8888,8888,A231,SDKJDX,2,22,English,1
21376666050382,zhang50381,8888,8888,A231,SDKJDX,2,22,English,1
21376666050383,zhang50382,8888,8888,A231,SDKJDX,2,22,English,1
21376666050384,zhang50383,8888,8888,A231,SDKJDX,2,22,English,1
21376666050385,zhang50384,8888,8888,A231,SDKJDX,2,22,English,1
21376666050386,zhang50385,8888,8888,A231,SDKJDX,2,22,English,1
21376666050387,zhang50386,8888,8888,A231,SDKJDX,2,22,English,1
